10000	7417
20000	10140
30000	8697
40000	11662
50000	14599
60000	18008
70000	21066
80000	24151
90000	27506
100000	30755
110000	34223
120000	37555
130000	40842
140000	44306
150000	47655
160000	50942
170000	54459
180000	58185
190000	62056
200000	64875
210000	68415
220000	72873
230000	75543
240000	79191
250000	82599
260000	85670
270000	89872
280000	93286
290000	96923
300000	100438
310000	103928
320000	107297
330000	111075
340000	114656
350000	118588
360000	122174
370000	126229
380000	129330
390000	132589
400000	136383
410000	140258
420000	144569
430000	147631
440000	151326
450000	154690
460000	158817
470000	162201
480000	166078
490000	170332
500000	173495
510000	176715
520000	181491
530000	183905
540000	187959
550000	191990
560000	198110
570000	199903
580000	203578
590000	207019
600000	210636
610000	214830
620000	218304
630000	221966
640000	225634
650000	228738
660000	232246
670000	236583
680000	240547
690000	245309
700000	249316
710000	252528
720000	256170
730000	260275
740000	263782
750000	267358
760000	271922
770000	275035
780000	279160
790000	282093
800000	286484
810000	290165
820000	294087
830000	297980
840000	302703
850000	305619
860000	310171
870000	313997
880000	318231
890000	321463
900000	325018
910000	328482
920000	332067
930000	338689
940000	340495
950000	344472
960000	349326
970000	352777
980000	356500
990000	359855
1000000	364108
