10000	2941
20000	3145
30000	4841
40000	5835
50000	9155
60000	9062
70000	10840
80000	12317
90000	13997
100000	15859
110000	17290
120000	18641
130000	20416
140000	22005
150000	23816
160000	25713
170000	26907
180000	28792
190000	30237
200000	32653
210000	34491
220000	37033
230000	38596
240000	39864
250000	41179
260000	42481
270000	44043
280000	47091
290000	47378
300000	49417
310000	52374
320000	52731
330000	53875
340000	56348
350000	59369
360000	60312
370000	64158
380000	65531
390000	65995
400000	68203
410000	68789
420000	70010
430000	73377
440000	73094
450000	75458
460000	76914
470000	83416
480000	82290
490000	85050
500000	86617
510000	86043
520000	87079
530000	93747
540000	93370
550000	94761
560000	95345
570000	95987
580000	100531
590000	102901
600000	103568
610000	104272
620000	105279
630000	109332
640000	110995
650000	113037
660000	112028
670000	116172
680000	117956
690000	120239
700000	118598
710000	124391
720000	123217
730000	124991
740000	129537
750000	128280
760000	131053
770000	133315
780000	136401
790000	135170
800000	136818
810000	138755
820000	141155
830000	143033
840000	148740
850000	146866
860000	152106
870000	150119
880000	151600
890000	157573
900000	158782
910000	161899
920000	163231
930000	163942
940000	162295
950000	168948
960000	167149
970000	173459
980000	171126
990000	173649
1000000	175544
